model,tom_dimension,accuracy,dim_rank,age_mid,family,tier,date_years,params_b,log_params,mean_acc,coherence,coherence_resid
anthropic/claude-sonnet-4-5-20250929,Second-Order False Belief,1,7,7.25,Claude,Claude Sonnet,1.7440109514031483,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-4-5-20250929,White Lies / Prosocial Deception,1,8,7.5,Claude,Claude Sonnet,1.7440109514031483,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Diverse Beliefs,1,1,4,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Diverse Desires,1,0,3,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Emotion Recognition,1,3,5.4,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Faux Pas Detection,0.9333333333333333,10,10.5,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,First-Order False Belief,1,4,5,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Hidden Emotion (Appearance vs. Reality),1,6,7.25,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Intention vs. Accident,1,5,6,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Irony,1,11,8,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Knowledge Access / Ignorance,1,2,4,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Sarcasm,1,9,8.5,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,Second-Order False Belief,1,7,7.25,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-sonnet-5,White Lies / Prosocial Deception,1,8,7.5,Claude,Claude Sonnet,2.477754962354552,70,1.845098040014257,0.9945652173913043,0.01169071669071668,-0.001558361600369293
openai-api/local/meta-llama/llama-3-70b-instruct,Diverse Beliefs,1,1,4,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Diverse Desires,0.9333333333333333,0,3,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Emotion Recognition,1,3,5.4,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Faux Pas Detection,0.8666666666666667,10,10.5,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,First-Order False Belief,1,4,5,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Hidden Emotion (Appearance vs. Reality),1,6,7.25,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Intention vs. Accident,0.9333333333333333,5,6,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Irony,1,11,8,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Knowledge Access / Ignorance,1,2,4,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Sarcasm,1,9,8.5,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,Second-Order False Belief,1,7,7.25,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-70b-instruct,White Lies / Prosocial Deception,0.9333333333333333,8,7.5,Llama,Llama large,0.2956878850102669,70,1.845098040014257,0.9728260869565217,0.009429795793432165,-0.00739341922369565
openai-api/local/meta-llama/llama-3-8b-instruct,Diverse Beliefs,0.9333333333333333,1,4,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Diverse Desires,0.9333333333333333,0,3,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Emotion Recognition,1,3,5.4,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Faux Pas Detection,0.8,10,10.5,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,First-Order False Belief,0.4117647058823529,4,5,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Hidden Emotion (Appearance vs. Reality),1,6,7.25,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Intention vs. Accident,0.9333333333333333,5,6,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Irony,1,11,8,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Knowledge Access / Ignorance,0.9333333333333333,2,4,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Sarcasm,1,9,8.5,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,Second-Order False Belief,0.8666666666666667,7,7.25,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3-8b-instruct,White Lies / Prosocial Deception,0.9333333333333333,8,7.5,Llama,Llama small,0.2956878850102669,8,0.9030899869919435,0.8913043478260869,-0.019695773626254902,-0.04992200136603961
openai-api/local/meta-llama/llama-3.1-8b-instruct,Diverse Beliefs,0.9333333333333333,1,4,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,Diverse Desires,0.9333333333333333,0,3,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,Emotion Recognition,1,3,5.4,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
