item_id,task,tom_dimension,tom_construct,dim_rank,age_mid,n,pass,passrate,passrate_adj,difficulty_logit,fitted_pooled
ER_FR_04,tom_12dim_freeresponse,Emotion Recognition,Emotion recognition,3,5,28,19,0.6785714285714286,0.6724137931034483,-0.719122666963206,-2.2277863853812505
ER_FR_05,tom_12dim_freeresponse,Emotion Recognition,Emotion recognition,3,7,28,28,1,0.9827586206896551,-4.043051267834548,-2.066653081701669
FOFB_01,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-2.2680697113011457
FOFB_02,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
FOFB_03,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.2680697113011457
FOFB_04,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
FOFB_05,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-2.2680697113011457
FOFB_06,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.2680697113011457
FOFB_07,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,5.5,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-2.1875030594613554
FOFB_08,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,19,0.6785714285714286,0.6724137931034483,-0.719122666963206,-2.2680697113011457
FOFB_09,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,21,0.75,0.7413793103448276,-1.0531499145913525,-2.2680697113011457
FOFB_10,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,5.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.1875030594613554
FOFB_11,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
FOFB_12,tom_12dim_mcq,First-Order False Belief,Belief reasoning,4,5.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.1875030594613554
FOFB_FR_01,tom_12dim_freeresponse,First-Order False Belief,Belief reasoning,4,4.5,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-2.2680697113011457
FOFB_FR_02,tom_12dim_freeresponse,First-Order False Belief,Belief reasoning,4,4.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.2680697113011457
FOFB_FR_03,tom_12dim_freeresponse,First-Order False Belief,Belief reasoning,4,4.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.2680697113011457
FOFB_FR_04,tom_12dim_freeresponse,First-Order False Belief,Belief reasoning,4,5.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.1875030594613554
FOFB_FR_05,tom_12dim_freeresponse,First-Order False Belief,Belief reasoning,4,4.5,28,20,0.7142857142857143,0.7068965517241379,-0.8803587226480917,-2.2680697113011457
FP_01,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,10,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.8249531261822973
FP_02,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,10,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.8249531261822973
FP_03,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,10,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.8249531261822973
FP_04,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,10,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-1.8249531261822973
FP_05,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,10,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.8249531261822973
FP_06,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,10,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.8249531261822973
FP_07,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,11,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-1.7443864743425066
FP_08,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,10,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-1.8249531261822973
FP_09,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,10,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.8249531261822973
FP_10,tom_12dim_mcq,Faux Pas Detection,Pragmatic understanding,10,11,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-1.7443864743425066
FP_FR_01,tom_12dim_freeresponse,Faux Pas Detection,Pragmatic understanding,10,10,28,6,0.21428571428571427,0.22413793103448276,1.241713132308783,-1.8249531261822973
FP_FR_02,tom_12dim_freeresponse,Faux Pas Detection,Pragmatic understanding,10,10,28,10,0.35714285714285715,0.3620689655172414,0.5663954749208017,-1.8249531261822973
FP_FR_03,tom_12dim_freeresponse,Faux Pas Detection,Pragmatic understanding,10,10,28,16,0.5714285714285714,0.5689655172413793,-0.27763173659827967,-1.8249531261822973
FP_FR_04,tom_12dim_freeresponse,Faux Pas Detection,Pragmatic understanding,10,10,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-1.8249531261822973
FP_FR_05,tom_12dim_freeresponse,Faux Pas Detection,Pragmatic understanding,10,11,28,18,0.6428571428571429,0.6379310344827587,-0.5663954749208017,-1.7443864743425066
HE_01,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.2277863853812505
HE_02,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.066653081701669
HE_03,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,5,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-2.2277863853812505
HE_04,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.066653081701669
HE_05,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-2.066653081701669
HE_06,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.066653081701669
HE_07,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.066653081701669
HE_08,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,8,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-1.9860864298618786
HE_09,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,9,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-1.9055197780220878
HE_10,tom_12dim_mcq,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-2.066653081701669
HE_FR_01,tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,5,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-2.2277863853812505
HE_FR_02,tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.066653081701669
HE_FR_03,tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.066653081701669
HE_FR_04,tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,9,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-1.9055197780220878
HE_FR_05,tom_12dim_freeresponse,Hidden Emotion (Appearance vs. Reality),Emotion recognition,6,7,28,19,0.6785714285714286,0.6724137931034483,-0.719122666963206,-2.066653081701669
IA_01,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,4.5,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-2.2680697113011457
IA_02,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
IA_03,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,4.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.2680697113011457
IA_04,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,4.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.2680697113011457
IA_05,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,5.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.1875030594613554
IA_06,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,7.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.026369755781774
IA_07,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,5.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.1875030594613554
IA_08,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,5.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.1875030594613554
IA_09,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,4.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.2680697113011457
IA_10,tom_12dim_mcq,Intention vs. Accident,Desire / intention inference,5,6.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.1069364076215646
IA_FR_01,tom_12dim_freeresponse,Intention vs. Accident,Desire / intention inference,5,7.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.026369755781774
IA_FR_02,tom_12dim_freeresponse,Intention vs. Accident,Desire / intention inference,5,5.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.1875030594613554
IA_FR_03,tom_12dim_freeresponse,Intention vs. Accident,Desire / intention inference,5,6.5,28,21,0.75,0.7413793103448276,-1.0531499145913525,-2.1069364076215646
IA_FR_04,tom_12dim_freeresponse,Intention vs. Accident,Desire / intention inference,5,5.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.1875030594613554
IA_FR_05,tom_12dim_freeresponse,Intention vs. Accident,Desire / intention inference,5,5.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.1875030594613554
IRO_01,tom_12dim_mcq,Irony,Pragmatic understanding,11,7,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.066653081701669
IRO_02,tom_12dim_mcq,Irony,Pragmatic understanding,11,8,28,28,1,0.9827586206896551,-4.043051267834548,-1.9860864298618786
IRO_03,tom_12dim_mcq,Irony,Pragmatic understanding,11,8,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-1.9860864298618786
IRO_04,tom_12dim_mcq,Irony,Pragmatic understanding,11,7,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.066653081701669
IRO_05,tom_12dim_mcq,Irony,Pragmatic understanding,11,8,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-1.9860864298618786
IRO_06,tom_12dim_mcq,Irony,Pragmatic understanding,11,9,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-1.9055197780220878
IRO_07,tom_12dim_mcq,Irony,Pragmatic understanding,11,8,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.9860864298618786
IRO_08,tom_12dim_mcq,Irony,Pragmatic understanding,11,9,28,28,1,0.9827586206896551,-4.043051267834548,-1.9055197780220878
IRO_09,tom_12dim_mcq,Irony,Pragmatic understanding,11,9,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-1.9055197780220878
IRO_10,tom_12dim_mcq,Irony,Pragmatic understanding,11,8,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-1.9860864298618786
IRO_FR_01,tom_12dim_freeresponse,Irony,Pragmatic understanding,11,8,28,28,1,0.9827586206896551,-4.043051267834548,-1.9860864298618786
IRO_FR_02,tom_12dim_freeresponse,Irony,Pragmatic understanding,11,8,28,28,1,0.9827586206896551,-4.043051267834548,-1.9860864298618786
