model,tom_dimension,n,n_correct,accuracy
openai-api/local/mistralai/mistral-7b-instruct,Diverse Beliefs,15,13,0.8666666666666667
openai-api/local/mistralai/mistral-7b-instruct,Diverse Desires,15,14,0.9333333333333333
openai-api/local/mistralai/mistral-7b-instruct,Emotion Recognition,17,16,0.9411764705882353
openai-api/local/mistralai/mistral-7b-instruct,Faux Pas Detection,15,7,0.4666666666666667
openai-api/local/mistralai/mistral-7b-instruct,First-Order False Belief,17,6,0.35294117647058826
openai-api/local/mistralai/mistral-7b-instruct,Hidden Emotion (Appearance vs. Reality),15,7,0.4666666666666667
openai-api/local/mistralai/mistral-7b-instruct,Intention vs. Accident,15,9,0.6
openai-api/local/mistralai/mistral-7b-instruct,Irony,15,13,0.8666666666666667
openai-api/local/mistralai/mistral-7b-instruct,Knowledge Access / Ignorance,15,10,0.6666666666666666
openai-api/local/mistralai/mistral-7b-instruct,Sarcasm,15,8,0.5333333333333333
openai-api/local/mistralai/mistral-7b-instruct,Second-Order False Belief,15,5,0.3333333333333333
openai-api/local/mistralai/mistral-7b-instruct,White Lies / Prosocial Deception,15,9,0.6
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Diverse Beliefs,15,13,0.8666666666666667
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Diverse Desires,15,13,0.8666666666666667
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Emotion Recognition,17,17,1.0
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Faux Pas Detection,15,4,0.26666666666666666
openai-api/local/mistralai/mistral-7b-instruct-v0.2,First-Order False Belief,17,13,0.7647058823529411
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Hidden Emotion (Appearance vs. Reality),15,10,0.6666666666666666
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Intention vs. Accident,15,13,0.8666666666666667
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Irony,15,14,0.9333333333333333
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Knowledge Access / Ignorance,15,13,0.8666666666666667
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Sarcasm,15,10,0.6666666666666666
openai-api/local/mistralai/mistral-7b-instruct-v0.2,Second-Order False Belief,15,14,0.9333333333333333
openai-api/local/mistralai/mistral-7b-instruct-v0.2,White Lies / Prosocial Deception,15,10,0.6666666666666666
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Diverse Beliefs,15,6,0.4
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Diverse Desires,15,5,0.3333333333333333
